🇨🇳河南移动,#genre#
CCTV-01,http://39.165.196.149:9003//hls/1/index.m3u8
CCTV-02,http://39.165.196.149:9003//hls/2/index.m3u8
CCTV-03,http://39.165.196.149:9003//hls/3/index.m3u8
CCTV-04,http://39.165.196.149:9003//hls/4/index.m3u8
CCTV-05,http://39.165.196.149:9003//hls/5/index.m3u8
CCTV-06,http://39.165.196.149:9003//hls/6/index.m3u8
CCTV-07,http://39.165.196.149:9003//hls/7/index.m3u8
CCTV-08,http://39.165.196.149:9003//hls/8/index.m3u8
CCTV-09,http://39.165.196.149:9003//hls/9/index.m3u8
CCTV-10,http://39.165.196.149:9003//hls/10/index.m3u8
CCTV-11,http://39.165.196.149:9003//hls/11/index.m3u8
CCTV-12,http://39.165.196.149:9003//hls/12/index.m3u8
CCTV-13,http://39.165.196.149:9003//hls/13/index.m3u8
CCTV-14,http://39.165.196.149:9003//hls/14/index.m3u8
CCTV-15,http://39.165.196.149:9003//hls/15/index.m3u8
CCTV-17,http://39.165.196.149:9003//hls/17/index.m3u8
北京卫视,http://39.165.196.149:9003//hls/27/index.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://39.165.196.149:9003//hls/28/index.m3u8
湖南卫视,http://39.165.196.149:9003//hls/29/index.m3u8
山东卫视,http://39.165.196.149:9003//hls/30/index.m3u8
安徽卫视,http://39.165.196.149:9003//hls/31/index.m3u8
四川卫视,http://39.165.196.149:9003//hls/32/index.m3u8
深圳卫视,http://39.165.196.149:9003//hls/33/index.m3u8
天津卫视,http://39.165.196.149:9003//hls/34/index.m3u8
山西卫视,http://39.165.196.149:9003//hls/35/index.m3u8
河北卫视,http://39.165.196.149:9003//hls/36/index.m3u8
江苏卫视,http://39.165.196.149:9003//hls/37/index.m3u8
广东卫视,http://39.165.196.149:9003//hls/38/index.m3u8
东方卫视,http://39.165.196.149:9003//hls/39/index.m3u8
湖北卫视,http://39.165.196.149:9003//hls/40/index.m3u8
黑龙江卫视,http://39.165.196.149:9003//hls/41/index.m3u8
辽宁卫视,http://39.165.196.149:9003//hls/42/index.m3u8
吉林卫视,http://39.165.196.149:9003//hls/43/index.m3u8
重庆卫视,http://39.165.196.149:9003//hls/44/index.m3u8
云南卫视,http://39.165.196.149:9003//hls/45/index.m3u8
江西卫视,http://39.165.196.149:9003//hls/46/index.m3u8
贵州卫视,http://39.165.196.149:9003//hls/47/index.m3u8
陕西卫视,http://39.165.196.149:9003//hls/48/index.m3u8
宁夏卫视,http://39.165.196.149:9003//hls/49/index.m3u8
东南卫视,http://39.165.196.149:9003//hls/50/index.m3u8
内蒙古卫视,http://39.165.196.149:9003//hls/51/index.m3u8
甘肃卫视,http://39.165.196.149:9003//hls/52/index.m3u8
青海卫视,http://39.165.196.149:9003//hls/53/index.m3u8
广西卫视,http://39.165.196.149:9003//hls/54/index.m3u8
海南卫视,http://39.165.196.149:9003//hls/55/index.m3u8
广东卫视,http://39.164.160.249:9901/tsfile/live/0125_1.m3u8

浙江卫视,http://113.56.95.69:53765/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://113.56.95.69:53765/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://113.56.95.69:53765/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://113.56.95.69:53765/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://222.173.108.238:352/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://222.173.108.238:352/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://113.56.95.69:53765/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
