中央频道,#genre#
CCTV-01,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-01,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV-02,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV-03,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV-04,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV-05,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV-06,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV-07,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV-08,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV-09,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV-10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV-11,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV-12,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV-13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV-14,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV-15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV-17,http://120.76.248.139/live/bfgd/4200000204.m3u8

CCTV-01,http://ygbh.site/php/bfgd.php?id=488
CCTV-01,http://ygbh.site/php/bfgd.php?id=489
CCTV-02,http://ygbh.site/php/bfgd.php?id=061
CCTV-03,http://ygbh.site/php/bfgd.php?id=062
CCTV-04,http://ygbh.site/php/bfgd.php?id=063
CCTV-05,http://ygbh.site/php/bfgd.php?id=064
CCTV-06,http://ygbh.site/php/bfgd.php?id=065
CCTV-07,http://ygbh.site/php/bfgd.php?id=127
CCTV-08,http://ygbh.site/php/bfgd.php?id=066
CCTV-09,http://ygbh.site/php/bfgd.php?id=128
CCTV-10,http://ygbh.site/php/bfgd.php?id=129
CCTV-11,http://ygbh.site/php/bfgd.php?id=130
CCTV-12,http://ygbh.site/php/bfgd.php?id=131
CCTV-13,http://ygbh.site/php/bfgd.php?id=067
CCTV-14,http://ygbh.site/php/bfgd.php?id=132
CCTV-15,http://ygbh.site/php/bfgd.php?id=133
CCTV-17,http://ygbh.site/php/bfgd.php?id=204


CCTV-01,http://goo.bkpcp.top/mg/cctv1
CCTV-02,http://goo.bkpcp.top/mg/cctv2
CCTV-03,http://goo.bkpcp.top/mg/cctv3
CCTV-04,http://goo.bkpcp.top/mg/cctv4
CCTV-05,http://goo.bkpcp.top/mg/cctv5
CCTV-06,http://goo.bkpcp.top/mg/cctv6
CCTV-07,http://goo.bkpcp.top/mg/cctv7
CCTV-08,http://goo.bkpcp.top/mg/cctv8
CCTV-09,http://goo.bkpcp.top/mg/cctv9
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-11,http://goo.bkpcp.top/mg/cctv11
CCTV-12,http://goo.bkpcp.top/mg/cctv12
CCTV-13,http://goo.bkpcp.top/mg/cctv13
CCTV-14,http://goo.bkpcp.top/mg/cctv14
CCTV-15,http://goo.bkpcp.top/mg/cctv15
CCTV-17,http://goo.bkpcp.top/mg/cctv17
