中央频道,#genre#
cctv1,http://219.145.201.198:3389/cctv1ly/index.m3u8
cctv2,http://123.138.88.162:3389/cctv2qp/index.m3u8
cctv3,http://219.145.201.198:3389/cctv3pA/index.m3u8
cctv4,http://123.138.88.162:3389/cctv4rC/index.m3u8
cctv5,http://219.145.201.198:3389/cctv5yo/index.m3u8
cctv6,http://123.138.88.162:3389/cctv6om/index.m3u8
cctv7,http://219.145.201.198:3389/cctv7Et/index.m3u8
cctv8,http://123.138.88.162:3389/cctv8Bk/index.m3u8
cctv9,http://219.145.201.198:3389/cctv9Oy/index.m3u8
cctv10,http://123.138.88.162:3389/cctv10yW/index.m3u8
cctv11,http://219.145.201.198:3389/cctv11xW/index.m3u8
cctv12,http://123.138.88.162:3389/cctv12vb/index.m3u8
cctv13,http://219.145.201.198:3389/cctv13xM/index.m3u8
cctv14,http://123.138.88.162:3389/cctv14Vh/index.m3u8
cctv15,http://219.145.201.198:3389/cctv15xL/index.m3u8
cctv16,http://123.138.88.162:3389/cctv16GL/index.m3u8
cctv17,http://219.145.201.198:3389/cctv17MV/index.m3u8

卫视频道,#genre#
江西卫视,http://132.232.245.166:88/JXWSFC/index.m3u8
江西卫视,http://42.237.26.72:55555//hls/28/index.m3u8
湖南卫视,http://123.138.88.162:3389/HNWSnF/index.m3u8
浙江卫视,http://219.145.201.198:3389/ZJWSvY/index.m3u8
江苏卫视,http://123.138.88.162:3389/JSWSfl/index.m3u8
安徽卫视,http://219.145.201.198:3389/AHWSWe/index.m3u8
辽宁卫视,http://123.138.88.162:3389/LNWSTU/index.m3u8
广东卫视,http://219.145.201.198:3389/GDWSwu/index.m3u8
北京卫视,http://123.138.88.162:3389/BJWSDF/index.m3u8
天津卫视,http://219.145.201.198:3389/TJWSlN/index.m3u8
东方卫视,http://123.138.88.162:3389/DFWSwa/index.m3u8
深圳卫视,http://219.145.201.198:3389/SWSjB/index.m3u8
四川卫视,http://118.24.77.37:77/SCWSMf/index.m3u8
东南卫视,http://219.145.201.198:3389/DNWSWo/index.m3u8
贵州卫视,http://123.138.88.162:3389/GZWSdo/index.m3u8
黑龙江卫视,http://132.232.245.166:88/HLJWIF/index.m3u8
厦门卫视,http://123.138.88.162:3389/XMWSNs/index.m3u8
云南卫视,http://219.145.201.198:3389/YNWSMo/index.m3u8
陕西卫视,http://123.138.88.162:3389/SXWSTVv/index.m3u8
内蒙古卫视,http://219.145.201.198:3389/NMGWIp/index.m3u8
宁夏卫视,http://123.138.88.162:3389/NXWSRT/index.m3u8
青海卫视,http://219.145.201.198:3389/QHWSyn/index.m3u8
新疆卫视,http://123.138.88.162:3389/XJWSUz/index.m3u8
甘肃卫视,http://219.145.201.198:3389/GSWSeP/index.m3u8
西藏卫视,http://123.138.88.162:3389/XCWSlD/index.m3u8
海南卫视,http://132.232.245.166:88/HNWSPDwN/index.m3u8
河北卫视,http://132.232.245.166:88/HBWSTYE/index.m3u8
山东卫视,http://132.232.245.166:88/SDWSqi/index.m3u8
吉林卫视,http://132.232.245.166:88/JLWSYs/index.m3u8
山西卫视,http://123.138.88.162:3389/SXWSCL/index.m3u8
广西卫视,http://219.145.201.198:3389/GXWSMW/index.m3u8
湖北卫视,http://132.232.245.166:88/HBWSQG/index.m3u8
重庆卫视,http://132.232.245.166:88/ZQWSGc/index.m3u8
河南卫视,http://123.138.88.162:3389/HNWSTaK/index.m3u8
福建卫视,http://132.232.245.166:88/FJWSXj/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
内蒙古卫视,http://124.128.73.58:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://42.237.26.72:55555//hls/29/index.m3u8
