中央频道,#genre#
CCTV-1,http://118.122.103.235:4022/udp/239.93.0.184:5140
CCTV-2,http://118.122.103.235:4022/udp/239.93.1.23:6000
CCTV-3,http://118.122.103.235:4022/udp/239.93.1.11:2223
CCTV-4,http://118.122.103.235:4022/udp/239.93.1.105:5140
CCTV-5,http://118.122.103.235:4022/udp/239.93.42.37:5140
CCTV-6,http://118.122.103.235:4022/udp/239.93.1.13:2226
CCTV-7,http://118.122.103.235:4022/udp/239.93.1.67:5140
CCTV-8,http://118.122.103.235:4022/udp/239.93.42.39:5140
CCTV-9,http://118.122.103.235:4022/udp/239.93.1.24:5140
CCTV-10,http://118.122.103.235:4022/udp/239.93.1.28:5140
CCTV-11,http://118.122.103.235:4022/udp/239.93.0.102:5140
CCTV-12,http://118.122.103.235:4022/udp/239.93.1.30:8124
CCTV-13,http://118.122.103.235:4022/udp/239.93.0.66:5140
CCTV-14,http://118.122.103.235:4022/udp/239.93.1.29:6000
CCTV-15,http://118.122.103.235:4022/udp/239.93.0.103:5140
CCTV-17,http://118.122.103.235:4022/udp/239.93.0.92:5140

CCTV-1,http://113.251.178.188:6666/rtp/235.254.198.51:1480
CCTV-2,http://113.251.178.188:6666/rtp/235.254.198.52:1484
CCTV-3,http://113.251.178.188:6666/rtp/235.254.198.53:1488
CCTV-4,http://113.251.178.188:6666/rtp/235.254.198.183:7980
CCTV-5,http://113.251.178.188:6666/rtp/235.254.198.54:1492
CCTV-5+,http://113.251.178.188:6666/rtp/235.254.198.122:1764
CCTV-6,http://113.251.178.188:6666/rtp/235.254.198.55:1496
CCTV-7,http://113.251.178.188:6666/rtp/235.254.198.56:1500
CCTV-8,http://113.251.178.188:6666/rtp/235.254.198.57:1504
CCTV-9,http://113.251.178.188:6666/rtp/235.254.198.58:1508
CCTV-10,http://113.251.178.188:6666/rtp/235.254.198.59:1512
CCTV-11,http://113.251.178.188:6666/rtp/235.254.198.7:1304
CCTV-12,http://113.251.178.188:6666/rtp/235.254.198.60:1516
CCTV-13,http://113.251.178.188:6666/rtp/235.254.198.9:1312
CCTV-15,http://113.251.178.188:6666/rtp/235.254.198.11:1320
CCTV-14,http://113.251.178.188:6666/rtp/235.254.198.61:1520
CCTV-1,http://113.251.178.188:6666/rtp/235.254.198.1:1280
CCTV-2,http://113.251.178.188:6666/rtp/235.254.198.2:1284
CCTV-3,http://113.251.178.188:6666/rtp/235.254.198.141:1842
CCTV-4,http://113.251.178.188:6666/rtp/235.254.198.3:1288
CCTV-5,http://113.251.178.188:6666/rtp/235.254.198.142:1846
CCTV-6,http://113.251.178.188:6666/rtp/235.254.198.143:1852
CCTV-7,http://113.251.178.188:6666/rtp/235.254.198.4:1292
CCTV-8,http://113.251.178.188:6666/rtp/235.254.198.144:1856
CCTV-9,http://113.251.178.188:6666/rtp/235.254.198.5:1296
CCTV-10,http://113.251.178.188:6666/rtp/235.254.198.6:1300
CCTV-12,http://113.251.178.188:6666/rtp/235.254.198.8:1308
CCTV-14,http://113.251.178.188:6666/rtp/235.254.198.10:1316

CCTV-01,http://1.82.144.16:4022/rtp/239.112.205.59:5140
CCTV-01,http://1.82.144.16:4022/rtp/239.112.205.59:5140
CCTV-01,http://1.82.144.16:4022/rtp/239.112.205.59:5140
CCTV-01,http://1.83.163.43:8888/rtp/239.112.205.59:5140
CCTV-01,http://1.83.163.43:8888/rtp/239.112.205.59:5140
CCTV-01,http://111.196.131.234:8012/rtp/239.3.1.129:8008
CCTV-01,http://111.196.131.234:8012/rtp/239.3.1.129:8008
CCTV-01,http://113.24.136.208:8082/udp/239.1.1.7:8007
CCTV-01,http://113.24.136.208:8082/udp/239.1.1.7:8007
CCTV-01,http://113.24.136.208:8085/udp/239.1.1.7:8007
CCTV-01,http://113.24.136.208:8085/udp/239.1.1.7:8007
CCTV-01,http://113.24.136.208:8086/udp/239.1.1.7:8007
CCTV-01,http://113.24.136.208:8086/udp/239.1.1.7:8007
CCTV-01,http://113.24.136.227:8082/udp/239.1.1.7:8007
CCTV-01,http://113.24.136.227:8082/udp/239.1.1.7:8007
CCTV-01,http://113.24.136.227:8085/udp/239.1.1.7:8007
CCTV-01,http://113.24.136.227:8085/udp/239.1.1.7:8007
CCTV-01,http://113.24.136.240:8082/udp/239.1.1.7:8007
CCTV-01,http://113.24.136.240:8082/udp/239.1.1.7:8007
CCTV-01,http://113.24.136.240:8085/udp/239.1.1.7:8007
CCTV-01,http://113.24.136.240:8085/udp/239.1.1.7:8007
CCTV-01,http://113.251.178.188:6666/rtp/235.254.198.1:1280
CCTV-01,http://113.251.178.188:6666/rtp/235.254.198.1:1280
CCTV-01,http://113.251.178.188:6666/rtp/235.254.198.51:1480
CCTV-01,http://113.251.178.188:6666/rtp/235.254.198.51:1480
CCTV-01,http://114.243.108.225:4000/rtp/239.3.1.129:8008
CCTV-01,http://114.243.108.225:4000/rtp/239.3.1.129:8008
CCTV-01,http://114.252.199.35:10000/rtp/239.3.1.129:8008
CCTV-01,http://114.252.199.35:10000/rtp/239.3.1.129:8008
CCTV-01,http://115.60.241.249:2000/rtp/225.1.4.1:1030
CCTV-01,http://115.60.241.249:2000/rtp/225.1.4.1:1030
CCTV-01,http://115.60.241.249:2000/rtp/225.1.4.73:1102
CCTV-01,http://115.60.241.249:2000/rtp/225.1.4.73:1102
CCTV-01,http://118.122.103.235:4022/udp/239.93.0.184:5140
CCTV-01,http://118.122.103.235:4022/udp/239.93.0.184:5140
CCTV-01,http://118.254.158.48:8888/udp/239.76.245.51:1234
CCTV-01,http://118.254.158.48:8888/udp/239.76.245.51:1234
CCTV-01,http://118.254.158.48:8888/udp/239.76.246.151:1234
CCTV-01,http://118.254.158.48:8888/udp/239.76.246.151:1234
CCTV-01,http://118.254.158.48:8888/udp/239.76.253.151:9000
CCTV-01,http://118.254.158.48:8888/udp/239.76.253.151:9000
CCTV-01,http://123.112.246.1:5555/rtp/239.3.1.129:8008
CCTV-01,http://123.112.246.1:5555/rtp/239.3.1.129:8008
CCTV-01,http://123.113.11.89:4022/rtp/239.3.1.129:8008
CCTV-01,http://123.113.11.89:4022/rtp/239.3.1.129:8008
CCTV-01,http://123.117.235.102:4022/rtp/239.3.1.129:8008
CCTV-01,http://123.117.235.102:4022/rtp/239.3.1.129:8008
CCTV-01,http://124.115.207.92:8081/rtp/239.112.205.59:5140
CCTV-01,http://124.115.207.92:8081/rtp/239.112.205.59:5140
CCTV-01,http://125.82.168.238:8888/rtp/235.254.198.1:1280
CCTV-01,http://125.82.168.238:8888/rtp/235.254.198.1:1280
CCTV-01,http://125.82.168.238:8888/rtp/235.254.198.51:1480
CCTV-01,http://125.82.168.238:8888/rtp/235.254.198.51:1480
CCTV-01,http://125.82.171.210:8888/rtp/235.254.198.1:1280
CCTV-01,http://125.82.171.210:8888/rtp/235.254.198.1:1280
CCTV-01,http://125.82.171.210:8888/rtp/235.254.198.51:1480
CCTV-01,http://125.82.171.210:8888/rtp/235.254.198.51:1480
CCTV-01,http://14.126.29.88:5000/udp/239.77.0.129:5146
CCTV-01,http://14.126.29.88:5000/udp/239.77.0.129:5146
CCTV-01,http://14.126.29.88:5000/udp/239.77.0.86:5146
CCTV-01,http://14.126.29.88:5000/udp/239.77.0.86:5146
CCTV-01,http://14.126.29.88:5000/udp/239.77.1.144:5146
CCTV-01,http://14.126.29.88:5000/udp/239.77.1.144:5146
CCTV-01,http://14.126.29.88:5000/udp/239.77.1.17:5146
CCTV-01,http://14.126.29.88:5000/udp/239.77.1.17:5146
CCTV-01,http://171.212.212.47:8000/udp/239.93.0.184:5140
CCTV-01,http://171.212.212.47:8000/udp/239.93.0.184:5140
CCTV-01,http://171.213.37.127:4022/udp/239.93.0.184:5140
CCTV-01,http://171.213.37.127:4022/udp/239.93.0.184:5140
CCTV-02,http://1.82.144.16:4022/rtp/239.112.205.78:5140
CCTV-02,http://1.82.144.16:4022/rtp/239.112.205.78:5140
CCTV-02,http://1.82.144.16:4022/rtp/239.112.205.78:5140
CCTV-02,http://1.83.163.43:8888/rtp/239.112.205.78:5140
CCTV-02,http://1.83.163.43:8888/rtp/239.112.205.78:5140
CCTV-02,http://111.196.131.234:8012/rtp/239.3.1.60:8084
CCTV-02,http://111.196.131.234:8012/rtp/239.3.1.60:8084
CCTV-02,http://113.24.136.208:8082/udp/239.1.1.8:8008
CCTV-02,http://113.24.136.208:8082/udp/239.1.1.8:8008
CCTV-02,http://113.24.136.208:8085/udp/239.1.1.8:8008
CCTV-02,http://113.24.136.208:8085/udp/239.1.1.8:8008
CCTV-02,http://113.24.136.208:8086/udp/239.1.1.8:8008
CCTV-02,http://113.24.136.208:8086/udp/239.1.1.8:8008
CCTV-02,http://113.24.136.227:8082/udp/239.1.1.8:8008
CCTV-02,http://113.24.136.227:8082/udp/239.1.1.8:8008
CCTV-02,http://113.24.136.227:8085/udp/239.1.1.8:8008
CCTV-02,http://113.24.136.227:8085/udp/239.1.1.8:8008
CCTV-02,http://113.24.136.240:8082/udp/239.1.1.8:8008
CCTV-02,http://113.24.136.240:8082/udp/239.1.1.8:8008
CCTV-02,http://113.24.136.240:8085/udp/239.1.1.8:8008
CCTV-02,http://113.24.136.240:8085/udp/239.1.1.8:8008
CCTV-02,http://113.251.178.188:6666/rtp/235.254.198.2:1284
CCTV-02,http://113.251.178.188:6666/rtp/235.254.198.2:1284
CCTV-02,http://113.251.178.188:6666/rtp/235.254.198.52:1484
CCTV-02,http://113.251.178.188:6666/rtp/235.254.198.52:1484
CCTV-02,http://114.243.108.225:4000/rtp/239.3.1.60:8084
CCTV-02,http://114.243.108.225:4000/rtp/239.3.1.60:8084
CCTV-02,http://114.252.199.35:10000/rtp/239.3.1.60:8084
CCTV-02,http://114.252.199.35:10000/rtp/239.3.1.60:8084
CCTV-02,http://115.60.241.249:2000/rtp/225.1.4.2:1031
CCTV-02,http://115.60.241.249:2000/rtp/225.1.4.2:1031
CCTV-02,http://115.60.241.249:2000/rtp/225.1.4.74:1103
CCTV-02,http://115.60.241.249:2000/rtp/225.1.4.74:1103
CCTV-02,http://118.122.103.235:4022/udp/239.93.1.23:6000
CCTV-02,http://118.122.103.235:4022/udp/239.93.1.23:6000
CCTV-02,http://118.254.158.48:8888/udp/239.76.246.152:1234
CCTV-02,http://118.254.158.48:8888/udp/239.76.246.152:1234
CCTV-02,http://118.254.158.48:8888/udp/239.76.253.152:9000
CCTV-02,http://118.254.158.48:8888/udp/239.76.253.152:9000
CCTV-02,http://123.112.246.1:5555/rtp/239.3.1.60:8084
CCTV-02,http://123.112.246.1:5555/rtp/239.3.1.60:8084
CCTV-02,http://123.113.11.89:4022/rtp/239.3.1.60:8084
CCTV-02,http://123.113.11.89:4022/rtp/239.3.1.60:8084
CCTV-02,http://123.117.235.102:4022/rtp/239.3.1.60:8084
CCTV-02,http://123.117.235.102:4022/rtp/239.3.1.60:8084
CCTV-02,http://124.115.207.92:8081/rtp/239.112.205.78:5140
CCTV-02,http://124.115.207.92:8081/rtp/239.112.205.78:5140
CCTV-02,http://125.82.168.238:8888/rtp/235.254.198.2:1284
CCTV-02,http://125.82.168.238:8888/rtp/235.254.198.2:1284
CCTV-02,http://125.82.168.238:8888/rtp/235.254.198.52:1484
CCTV-02,http://125.82.168.238:8888/rtp/235.254.198.52:1484
CCTV-02,http://125.82.171.210:8888/rtp/235.254.198.2:1284
CCTV-02,http://125.82.171.210:8888/rtp/235.254.198.2:1284
CCTV-02,http://125.82.171.210:8888/rtp/235.254.198.52:1484
CCTV-02,http://125.82.171.210:8888/rtp/235.254.198.52:1484
CCTV-02,http://14.126.29.88:5000/udp/239.253.43.17:5146
CCTV-02,http://14.126.29.88:5000/udp/239.253.43.17:5146
CCTV-02,http://14.126.29.88:5000/udp/239.77.0.137:5146
CCTV-02,http://14.126.29.88:5000/udp/239.77.0.137:5146
CCTV-02,http://14.126.29.88:5000/udp/239.77.1.158:5146
CCTV-02,http://14.126.29.88:5000/udp/239.77.1.158:5146
CCTV-02,http://171.212.212.47:8000/udp/239.93.1.23:6000
CCTV-02,http://171.212.212.47:8000/udp/239.93.1.23:6000
CCTV-02,http://171.213.37.127:4022/udp/239.93.1.23:6000
CCTV-02,http://171.213.37.127:4022/udp/239.93.1.23:6000
CCTV-03,http://1.82.144.16:4022/rtp/239.112.205.221:5140
CCTV-03,http://1.82.144.16:4022/rtp/239.112.205.221:5140
CCTV-03,http://1.82.144.16:4022/rtp/239.112.205.221:5140
CCTV-03,http://1.83.163.43:8888/rtp/239.112.205.221:5140
CCTV-03,http://1.83.163.43:8888/rtp/239.112.205.221:5140
CCTV-03,http://111.196.131.234:8012/rtp/239.3.1.172:8001
CCTV-03,http://111.196.131.234:8012/rtp/239.3.1.172:8001
