卫视频道,#genre#
CCTV-1,http://live.nctv.top/DJlio/tv.php?id=1
CCTV-2,http://live.nctv.top/DJlio/tv.php?id=2
CCTV-3,http://live.nctv.top/DJlio/tv.php?id=3
CCTV-4,http://live.nctv.top/DJlio/tv.php?id=4
CCTV-4欧洲,http://live.nctv.top/DJlio/tv.php?id=21
CCTV-4美洲,http://live.nctv.top/DJlio/tv.php?id=22
CCTV-5,http://live.nctv.top/DJlio/tv.php?id=5
CCTV-5+,http://live.nctv.top/DJlio/tv.php?id=18
CCTV-6,http://live.nctv.top/DJlio/tv.php?id=6
CCTV-7,http://live.nctv.top/DJlio/tv.php?id=7
CCTV-8,http://live.nctv.top/DJlio/tv.php?id=8
CCTV-9,http://live.nctv.top/DJlio/tv.php?id=9
CCTV-10,http://live.nctv.top/DJlio/tv.php?id=10
CCTV-11,http://live.nctv.top/DJlio/tv.php?id=11
CCTV-12,http://live.nctv.top/DJlio/tv.php?id=12
CCTV-13,http://live.nctv.top/DJlio/tv.php?id=13
CCTV-14,http://live.nctv.top/DJlio/tv.php?id=14
CCTV-15,http://live.nctv.top/DJlio/tv.php?id=15
CCTV-16,http://live.nctv.top/DJlio/tv.php?id=16
CCTV-17,http://live.nctv.top/DJlio/tv.php?id=17
CCTV 4K,http://live.nctv.top/DJlio/tv.php?id=20
CHC动作电影,http://live.nctv.top/DJlio/tv.php?id=23
CHC高清电影,http://live.nctv.top/DJlio/tv.php?id=24
CHC家庭影院,http://live.nctv.top/DJlio/tv.php?id=25
女性时尚,http://live.nctv.top/DJlio/tv.php?id=26
第一剧场,http://live.nctv.top/DJlio/tv.php?id=27
世界地理,http://live.nctv.top/DJlio/tv.php?id=28
风云足球,http://live.nctv.top/DJlio/tv.php?id=29
央视台球,http://live.nctv.top/DJlio/tv.php?id=30
风云音乐,http://live.nctv.top/DJlio/tv.php?id=31
怀旧剧场,http://live.nctv.top/DJlio/tv.php?id=32
文化精品,http://live.nctv.top/DJlio/tv.php?id=33
风云剧场,http://live.nctv.top/DJlio/tv.php?id=35
电视指南,http://live.nctv.top/DJlio/tv.php?id=36
高尔夫网球,http://live.nctv.top/DJlio/tv.php?id=37
长影频道,http://live.nctv.top/DJlio/tv.php?id=38
