央视,#genre#
CCTV-1综合,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8
CCTV-2财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8
CCTV-3综艺,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8
CCTV-4中文国际,http://222.169.85.8:9901/tsfile/live/0004_1.m3u8
CCTV-5体育,http://222.169.85.8:9901/tsfile/live/0005_1.m3u8
CCTV-6电影,http://222.169.85.8:9901/tsfile/live/0006_1.m3u8
CCTV-7国防军事,http://222.169.85.8:9901/tsfile/live/0007_1.m3u8
CCTV-8电视剧,http://222.169.85.8:9901/tsfile/live/0008_1.m3u8
CCTV-9纪录,http://222.169.85.8:9901/tsfile/live/0009_1.m3u8
CCTV-10科教,http://222.169.85.8:9901/tsfile/live/0010_1.m3u8
CCTV-11戏曲,http://222.169.85.8:9901/tsfile/live/0011_1.m3u8
CCTV-12社会与法,http://222.169.85.8:9901/tsfile/live/0012_1.m3u8
CCTV-13新闻,http://222.169.85.8:9901/tsfile/live/0013_1.m3u8
CCTV-14少儿,http://222.169.85.8:9901/tsfile/live/0014_1.m3u8
CCTV-15音乐,http://222.169.85.8:9901/tsfile/live/0015_1.m3u8
CCTV-16奥林匹克,http://222.169.85.8:9901/tsfile/live/0016_1.m3u8
CCTV-17农业农村,http://222.169.85.8:9901/tsfile/live/0017_1.m3u8

CCTV-1综合,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
CCTV-2财经,http://124.116.183.146:9901/tsfile/live/0002_1.m3u8
CCTV-3综艺,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8
CCTV-4中文国际,http://124.116.183.146:9901/tsfile/live/0004_1.m3u8
CCTV-5体育,http://124.116.183.146:9901/tsfile/live/0005_1.m3u8
CCTV-6电影,http://124.116.183.146:9901/tsfile/live/0006_1.m3u8
CCTV-7国防军事,http://124.116.183.146:9901/tsfile/live/0007_1.m3u8
CCTV-8电视剧,http://124.116.183.146:9901/tsfile/live/0008_1.m3u8
CCTV-9纪录,http://124.116.183.146:9901/tsfile/live/0009_1.m3u8
CCTV-10科教,http://124.116.183.146:9901/tsfile/live/0010_1.m3u8
CCTV-11戏曲,http://124.116.183.146:9901/tsfile/live/0011_1.m3u8
CCTV-12社会与法,http://124.116.183.146:9901/tsfile/live/0012_1.m3u8
CCTV-13新闻,http://124.116.183.146:9901/tsfile/live/0013_1.m3u8
CCTV-14少儿,http://124.116.183.146:9901/tsfile/live/0014_1.m3u8
CCTV-15音乐,http://124.116.183.146:9901/tsfile/live/0015_1.m3u8
CCTV-16奥林匹克,http://124.116.183.146:9901/tsfile/live/0016_1.m3u8
CCTV-17农业农村,http://124.116.183.146:9901/tsfile/live/0017_1.m3u8

卫视,#genre#

湖北生活,http://61.184.46.85:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
湖北经视,http://61.184.46.85:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
