测试频道,#genre#
1,http://202.168.168.50:5000/tsfile/live/1018_1.m3u8
2,http://202.168.168.50:5000/tsfile/live/1019_1.m3u8
3,http://202.168.168.50:5000/tsfile/live/1020_1.m3u8
4,http://202.168.168.50:5000/tsfile/live/1021_1.m3u8
5,http://202.168.168.50:5000/tsfile/live/1022_1.m3u8
6,http://202.168.168.50:5000/tsfile/live/1023_1.m3u8
7,http://202.168.168.50:5000/tsfile/live/1024_1.m3u8
8,http://202.168.168.50:5000/tsfile/live/1025_1.m3u8
9,http://202.168.168.50:5000/tsfile/live/1026_1.m3u8
10,http://202.168.168.50:5000/tsfile/live/1027_1.m3u8
11,http://202.168.168.50:5000/tsfile/live/1028_1.m3u8
12,http://202.168.168.50:5000/tsfile/live/1029_1.m3u8
13,http://202.168.168.50:5000/tsfile/live/1030_1.m3u8
14,http://202.168.168.50:5000/tsfile/live/1031_1.m3u8
15,http://202.168.168.50:5000/tsfile/live/1032_1.m3u8
16,http://202.168.168.50:5000/tsfile/live/1033_1.m3u8
17,http://202.168.168.50:5000/tsfile/live/1034_1.m3u8
18,http://202.168.168.50:5000/tsfile/live/1035_1.m3u8
19,http://202.168.168.50:5000/tsfile/live/1036_1.m3u8
20,http://202.168.168.50:5000/tsfile/live/1037_1.m3u8
21,http://202.168.168.50:5000/tsfile/live/1038_1.m3u8
22,http://202.168.168.50:5000/tsfile/live/1039_1.m3u8
23,http://202.168.168.50:5000/tsfile/live/1040_1.m3u8
24,http://202.168.168.50:5000/tsfile/live/1041_1.m3u8
25,http://202.168.168.50:5000/tsfile/live/1042_1.m3u8
26,http://202.168.168.50:5000/tsfile/live/1043_1.m3u8
27,http://202.168.168.50:5000/tsfile/live/1044_1.m3u8
28,http://202.168.168.50:5000/tsfile/live/1045_1.m3u8
29,http://202.168.168.50:5000/tsfile/live/1046_1.m3u8
30,http://202.168.168.50:5000/tsfile/live/1047_1.m3u8
31,http://202.168.168.50:5000/tsfile/live/1048_1.m3u8
32,http://202.168.168.50:5000/tsfile/live/1049_1.m3u8
33,http://202.168.168.50:5000/tsfile/live/1050_1.m3u8

央视-咪咕,#genre#
CCTV-1综合,http://goo.bkpcp.top/mg/cctv1
CCTV-2财经,http://goo.bkpcp.top/mg/cctv2
CCTV-3综艺,http://goo.bkpcp.top/mg/cctv3
CCTV-4中文国际,http://goo.bkpcp.top/mg/cctv4
CCTV-5体育,http://goo.bkpcp.top/mg/cctv5
CCTV-6电影,http://goo.bkpcp.top/mg/cctv6
CCTV-7国防军事,http://goo.bkpcp.top/mg/cctv7
CCTV-8电视剧,http://goo.bkpcp.top/mg/cctv8
CCTV-9纪录,http://goo.bkpcp.top/mg/cctv9
CCTV-10科教,http://goo.bkpcp.top/mg/cctv10
CCTV-11戏曲,http://goo.bkpcp.top/mg/cctv11
CCTV-12社会与法,http://goo.bkpcp.top/mg/cctv12
CCTV-13新闻,http://goo.bkpcp.top/mg/cctv13
CCTV-14少儿,http://goo.bkpcp.top/mg/cctv14
CCTV-15音乐,http://goo.bkpcp.top/mg/cctv15
CCTV-16奥林匹克,http://goo.bkpcp.top/mg/cctv16
CCTV-17农业农村,http://goo.bkpcp.top/mg/cctv17

CCTV-1综合,http://go.bkpcp.top/mg/cctv1
CCTV-2财经,http://go.bkpcp.top/mg/cctv2
CCTV-3综艺,http://go.bkpcp.top/mg/cctv3
CCTV-4中文国际,http://go.bkpcp.top/mg/cctv4
CCTV-5体育,http://go.bkpcp.top/mg/cctv5
CCTV-6电影,http://go.bkpcp.top/mg/cctv6
CCTV-7国防军事,http://go.bkpcp.top/mg/cctv7
CCTV-8电视剧,http://go.bkpcp.top/mg/cctv8
CCTV-9纪录,http://go.bkpcp.top/mg/cctv9
CCTV-10科教,http://go.bkpcp.top/mg/cctv10
CCTV-11戏曲,http://go.bkpcp.top/mg/cctv11
