💝咪咕直播,#genre#
CCTV1,http://106.52.196.79:80/TV/mui.php?id=cctv1 
CCTV2,http://106.52.196.79:80/TV/mui.php?id=cctv2 
CCTV3,http://106.52.196.79:80/TV/mui.php?id=cctv3 
CCTV4,http://106.52.196.79:80/TV/mui.php?id=cctv4 
CCTV5,http://106.52.196.79:80/TV/mui.php?id=cctv5 
CCTV5+,http://106.52.196.79:80/TV/mui.php?id=cctv5p 
CCTV6,http://106.52.196.79:80/TV/mui.php?id=cctv6 
CCTV7,http://106.52.196.79:80/TV/mui.php?id=cctv7 
CCTV8,http://106.52.196.79:80/TV/mui.php?id=cctv8 
CCTV9,http://106.52.196.79:80/TV/mui.php?id=cctv9 
CCTV10,http://106.52.196.79:80/TV/mui.php?id=cctv10 
CCTV11,http://106.52.196.79:80/TV/mui.php?id=cctv11 
CCTV12,http://106.52.196.79:80/TV/mui.php?id=cctv12 
CCTV13,http://106.52.196.79:80/TV/mui.php?id=cctv13 
CCTV14,http://106.52.196.79:80/TV/mui.php?id=cctv14 
CCTV15,http://106.52.196.79:80/TV/mui.php?id=cctv15 
CCTV17,http://106.52.196.79:80/TV/mui.php?id=cctv17
CGTN,http://106.52.196.79:80/TV/mui.php?id=cgtn
CGTN纪录,http://106.52.196.79:80/TV/mui.php?id=cgtnjl
CGTN西语,http://106.52.196.79:80/TV/mui.php?id=cgtne
CGTN阿语,http://106.52.196.79:80/TV/mui.php?id=cgtna
CGTN法语,http://106.52.196.79:80/TV/mui.php?id=cgtnf
CGTN俄语,http://106.52.196.79:80/TV/mui.php?id=cgtnr
中央新影-发现之旅,http://106.52.196.79:80/TV/mui.php?id=fxzl
中央新影-老故事,http://106.52.196.79:80/TV/mui.php?id=lgs
中央新影-中学生,http://106.52.196.79:80/TV/mui.php?id=zxs
大湾区卫视,http://106.52.196.79:80/TV/mui.php?id=dwqws
广东卫视,http://106.52.196.79:80/TV/mui.php?id=gdws
广东影视,http://106.52.196.79:80/TV/mui.php?id=gdys
河南卫视,http://106.52.196.79:80/TV/mui.php?id=hnws
江西卫视,http://106.52.196.79:80/TV/mui.php?id=jxws
江苏卫视,http://106.52.196.79:80/TV/mui.php?id=jsws
江苏教育,http://106.52.196.79:80/TV/mui.php?id=jsjy
江苏城市,http://106.52.196.79:80/TV/mui.php?id=jscs
江苏综艺,http://106.52.196.79:80/TV/mui.php?id=jszy
江苏影视,http://106.52.196.79:80/TV/mui.php?id=jsys
江苏新闻,http://106.52.196.79:80/TV/mui.php?id=jsggxw
江苏国际,http://106.52.196.79:80/TV/mui.php?id=jsgj
江苏教育,http://106.52.196.79:80/TV/mui.php?id=jsjy
上海新闻综合,http://106.52.196.79:80/TV/mui.php?id=shxwzh
上海第一财经,http://106.52.196.79:80/TV/mui.php?id=dycj
南京新闻综合,http://106.52.196.79:80/TV/mui.php?id=njxwzh
南京教科,http://106.52.196.79:80/TV/mui.php?id=njkj
南京十八,http://106.52.196.79:80/TV/mui.php?id=njsb
淮安新闻综合,http://106.52.196.79:80/TV/mui.php?id=haxwzh
连云港新闻综合,http://106.52.196.79:80/TV/mui.php?id=lygxwzh
泰州新闻综合,http://106.52.196.79:80/TV/mui.php?id=tzxwzh
宿迁新闻综合,http://106.52.196.79:80/TV/mui.php?id=sqxwzh
徐州新闻综合,http://106.52.196.79:80/TV/mui.php?id=xzxwzh
咪咕音乐,http://106.52.196.79:80/TV/mui.php?id=ljcwhg
咪咕新片放映厅,http://106.52.196.79:80/TV/mui.php?id=xpfyt
咪咕经典深圳旁边电影,http://106.52.196.79:80/TV/mui.php?id=jdxgdy
咪咕军事迷必看大片,http://106.52.196.79:80/TV/mui.php?id=jsdp
咪咕24小时体育台,http://106.52.196.79:80/TV/mui.php?id=mg24hty
咪咕体育轮播台,http://106.52.196.79:80/TV/mui.php?id=mglbt
咪咕体育欧洲足球风云,http://106.52.196.79:80/TV/mui.php?id=ozzqfy
咪咕体育全民乒乓,http://106.52.196.79:80/TV/mui.php?id=qmpp
咪咕体育赛事最经典,http://nctv.top/IDOEPpiry/migu.php?id=sszjd
咪咕体育体坛名栏汇,http://106.52.196.79:80/TV/mui.php?id=ttmlh
咪咕熊猫1,http://106.52.196.79:80/TV/mui.php?id=xm1
