综合,#genre#
0001CCTV-01综合,http://183.63.15.42:9901/tsfile/live/0001_1.m3u8
0002CCTV-01综合,http://218.29.55.44:808/hls/1/index.m3u8
0003CCTV-01综合,http://219.151.31.38/liveplay-kk.rtxapp.com/live/program/live/cctv1hd/4000000/mnf.m3u8
0004CCTV-01综合,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
0005CCTV-01综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
0006CCTV-01综合,http://42.176.185.28:9901/tsfile/live/1022_1.m3u8
0007CCTV-01综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225501/index.m3u8fmt=ts2hls
0008CCTV-01综合,http://ktwlplkf.f3322.org:9901/tsfile/live/0001_1.m3u8
0009CCTV-01综合,http://tvpull.dxhmt.cn:9081/tv/11527-1.m3u8
0010CCTV-1 综合,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001022/index.m3u8
0011CCTV-1 综合,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv1hd8m/8000000/mnf.m3u8
0012CCTV-1 综合,http://103.112.191.9:880/LAOSAT1057.m3u8
0013CCTV-1 综合,http://58.205.220.58/tlivectfree-cdn.ysp.cctv.cn/1/2000210103.m3u8
0014CCTV-1 综合,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
0015CCTV-1 综合,http://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8
0016CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
0017CCTV-1 综合,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
0018CCTV-1 综合,http://stream4.jlntv.cn:80/cctv1hd/playlist.m3u8
0019CCTV-1 综合,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv1_2/index.m3u8
0020CCTV-1 综合,https://cctvwbndtxy.liveplay.myqcloud.com/cctvwbnd/jzcctv1_2/index.m3u8
0021CCTV-1 综合,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
0022CCTV-1 综合,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8
0023CCTV1综合,http://115.171.57.64:4000/udp/225.1.8.1:8008
0024CCTV1综合,http://115.171.57.64:4000/udp/225.1.8.101:8080
0025CCTV1综合,http://121.27.126.41:808/hls/1/index.m3u8
0026CCTV1综合,http://jh.d7g.cn/tv/zx2023.php?id=376
0027CCTV1-综合,http://218.17.196.234:9901/tsfile/live/0001_1.m3u8
0028CCTV-1综合,http://1.195.111.251:11190/tsfile/live/0001_1.m3u8
0029CCTV-1综合,http://222.175.159.226:808/hls/20231/index.m3u8
0030CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
0032CCTV-1综合 (1080p),http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8
0033CCTV-1综合 (1080p),http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
0034CCTV-1综合 (1080p),http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
0035CCTV-1综合 (1080p),http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
0036CCTV-1综合 (1080p),http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
0037CCTV-1综合 (1080p),http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
0038CCTV-1综合 (1080p),http://stream.smntv.cn/smtv1/sd/live.m3u8
0039CCTV1综合(4K),http://[2409:8087:2001:20:2800:0:df6e:eb02]/ott.mobaibox.com/PLTV/4/224/3221228149/index.m3u8
0040CIBN电影综合,http://hlsbkmgsplive.miguvideo.com/ws_v/2018/cnbn/cnbn450/350/index.m3u8&encrypt=
0041CIBN电影综合,http://hlsbkmgsplive.miguvideo.com/ws_v/2018/cnbn/cnbn711/1000/index.m3u8&encrypt=
0042CIBN综合,http://hlsbkmgsplive.miguvideo.com/wd_r4/peoplecn/xinqidian/350/index.m3u8&encrypt=
0043CIBN综合,http://hlsbkmgsplive.miguvideo.com/wd_r4/peoplecn/xinqidian/600/index.m3u8&encrypt=
0044CTi Variety (中天综合台),http://23.237.10.66:16372
0045ELTA综合,http://66.181.39.224/ml.php?id=eltazonghe
0046elta综合,https://epg.pw/stream/291da24fd7ecb35199a1210c7b9af7edf3fcf3bbf73622c409ba792d780c9b99.m3u8
